equation,word
(3 * 4) – 6 = 5,время
(2 * 4) – 7 = 3,жизнь
(3 * 7) + 1 = 17,слово
(3 *3) – 6 = 5,место
(5 * 4) + 4 = 9,конец
(7 * 2) – 6 = 10,часть
(9 * 3) – 5 = 12,город
(3 * 2) + 6 = 13,земля
(1 * 8) – 6 = 4,право
(3 * 3) + 2 = 7,дверь
(8 * 4) – 7 = 15,образ
(2 * 5) + 1 = 9,закон
(3 * 6) – 4 = 13,война
(5 * 3) + 6 = 18,голос
(2 * 2) + 3 = 9,книга
(12 / 4) + 2 = 2,число
(9 / 3) – 6 = 1,народ
(4 / 2) + 9 = 10,форма
(4 / 4) + 7 = 9,связь
(6 / 2) – 2 = 2,улица
(6 / 3) + 9 = 13,вечер
(8 / 4) – 1 = 6,мысль
(8 / 2) + 8 = 17,месяц
(8 / 8) – 7 = 3,школа
(10 / 5) + 9 = 10,театр
(10 / 2) – 4 = 3,рубль
(16 / 4) – 2 = 4,смысл
(27 / 9) + 7 = 11,орган
(12 / 3) – 6 = 1,рынок
(18 / 3) – 6 = 2,семья
(7 * 3) + 9 = 30,центр
(5 * 8) + 5 = 45,ответ
(3 * 5) + 7 = 22,автор
(3 * 6) – 8 = 10,стена
(7 * 2) + 9 = 23,совет
(4 * 7) – 9 = 19,глава
(9 * 3) – 4 = 23,наука
(3 * 5) + 1 = 16,плечо
(3 * 5) – 2 = 13,точка
(4 * 9) – 3 = 33,палец
(3 * 7) + 8 = 29,номер
(3 * 7) – 3 = 18,метод
(3 * 6) – 3 = 15,фильм
(5 * 2) – 4 = 6,гость
(8 * 2) + 6 = 22,кровь
(10 / 5) + 2 = 4,район
(9 / 3) – 3 = 0,армия
(32 / 8) – 1 = 3,класс
(4 / 4) + 7 = 8,герой
(30 / 5) + 7 = 13,спина
(35 / 5) + 2 = 9,сцена
(15 / 5) + 8 = 11,объем
(36 / 9) + 2 = 6,берег
(16 / 2) + 1 = 9,фирма
(42 / 7) + 7 = 13,завод
(21 / 3) + 6 = 13,песня
(6 / 2) + 8 = 11,роман
(24 / 8) + 2 = 5,стихи
(40 / 8) + 7 = 12,повод
(4 / 1) – 1 = 3,успех
